employee_id,business_title,supervisor_id,job_family_group
000001,Chief Executive Officer,,Executive
000003,Chief Success Officer,000001,Executive
000005,Chief Technology Officer,000434,Executive
000010,Distinguished Architect,000012,Consulting Services
000012,Chief Solution Officer,000003,Executive
000013,"VP, Genesis Engineering",001602,Development
000014,Principal Software Engineer I,000120,Development
000015,Senior Software Engineer I,000120,Development
000016,"Distinguished Architect, AI",000125,AI & Operational Analytics
000017,Distinguished Fellow,000997,Consulting Services
000019,Senior Field Product Manager,001069,Development
000020,Strategic Advisor,000624,
000021,Distinguished Architect,000012,Consulting Services
000024,Solutions Architect,000947,Internal IT Systems
000025,"VP, Express Solutions",000889,Development
000026,"Director, Group Product",000344,Development
000029,Distinguished Customer Support Engineer,000035,Customer Support & Remote Consulting  (CSRC)
000030,"VP, Sales Northeast",000053,Sales
000031,"SVP, Product Commercialization",000434,Sales
000032,Distinguished Architect,000114,Consulting Services
000033,"VP, Sales South",000053,Sales
000034,"VP, Talent Management",000624,Human Resources
000035,"SVP, Customer Support and Remote Consulting",000997,Executive
000036,Principal Remote Consultant,000211,Customer Support & Remote Consulting  (CSRC)
000037,Senior Field Product Manager,000278,Development
000043,"VP, Presales Operations",000079,Sales
000044,"Director, Express Solutions",000025,Development
000045,Group Product Manager II,000278,Development
000047,Senior Account Director,000360,Sales
000048,"Executive Vice President, EMEA",000003,Executive
000049,Lead Consultant,000739,Consulting Services
000050,Senior Product Manager II,000026,Development
000051,Senior Solution Consultant,000470,Sales
000053,"SVP,  Sales North America",000092,Executive
000057,Architect,000147,Consulting Services
000058,"Director, Customer Success EMEA",000563,Customer Success
000059,"CIO, VP Information Technology",000217,Executive
000061,"VP, Sales West",000053,Sales
000062,"Director, Customer Support",000196,Customer Support & Remote Consulting  (CSRC)
000065,Principal Software Engineer I,001855,Development
000066,"Senior Manager, Support Operations",000035,Customer Support & Remote Consulting  (CSRC)
000068,"Senior Director, ESG Strategy",000889,Development
000069,"Senior Manager, Remote Consulting",000220,Customer Support & Remote Consulting  (CSRC)
000071,"Manager, Cloud Development",000145,Cloud Global
000072,Principal Product Manager,001069,Development
000073,Principal Software Engineer I,000251,Development
000074,"Senior Manager, Remote Consulting",000220,Customer Support & Remote Consulting  (CSRC)
000077,"SVP, AI and Operational Analytics, Engineering",000983,AI & Operational Analytics
000078,"Director, AI Demand and Enablement",000125,AI & Operational Analytics
000079,"SVP, Solution Consulting",000092,Sales
000080,"Senior Director, Solution Consulting",000450,Sales
000084,"Senior Manager, Field Marketing",002404,Marketing
000085,Developer Services Architect,002017,Development
000086,"Senior Director, Sales",000188,Sales
000087,"Senior Director, Sales",000033,Sales
000089,"VP, Sales Public Sector",000053,Sales
000090,"Senior Director, Sales",000033,Sales
000092,Chief Revenue Officer,000001,Executive
000093,Solution Modeling Architect,000344,Development
000095,"Senior Director, Digital Transformation",000217,Operations
000096,"Director, Customer Success",001734,Customer Success
000097,"Director, Product Marketing",002257,Marketing
000098,Distinguished Architect,000114,Consulting Services
000099,Head of Public Sector,000001,Executive
000101,Principal Delivery Manager,000184,Customer Support & Remote Consulting  (CSRC)
000102,"Senior Manager, Talent Acquisition",001324,Human Resources
